"","site","dat"
"904","64087059596","fia_small"
"905","64095092663","fia_small"
"906","64111066965","fia_small"
"907","64111067151","fia_small"
"908","65003069589","fia_small"
"909","65003073512","fia_small"
"910","65003082766","fia_small"
"911","65005057481","fia_small"
"912","65009050481","fia_small"
"913","65009067709","fia_small"
"914","65019051604","fia_small"
"915","65019063135","fia_small"
"916","65019068453","fia_small"
"917","65019072966","fia_small"
"918","65019074103","fia_small"
"919","65019077732","fia_small"
"920","65019081722","fia_small"
"921","65019086025","fia_small"
"922","65019089477","fia_small"
"923","65029065496","fia_small"
"924","65029066835","fia_small"
"925","65029087891","fia_small"
"926","65029094273","fia_small"
"927","65029094550","fia_small"
"928","65039071620","fia_small"
"929","65039072298","fia_small"
"930","65039091052","fia_small"
"931","65039092012","fia_small"
"932","65043055264","fia_small"
"933","65043056491","fia_small"
"934","65043070220","fia_small"
"935","65043080365","fia_small"
"936","65043084069","fia_small"
"937","65043089278","fia_small"
"938","65051081059","fia_small"
"939","65051086472","fia_small"
"940","65099051621","fia_small"
"941","65107052187","fia_small"
"942","65107056656","fia_small"
"943","65107068934","fia_small"
"944","65107072065","fia_small"
"945","65107074847","fia_small"
"946","65107077409","fia_small"
"947","65107077548","fia_small"
"948","65107081889","fia_small"
"949","65107084431","fia_small"
"950","65107084653","fia_small"
"951","65107088550","fia_small"
"952","65107094775","fia_small"
"953","65107096804","fia_small"
"954","65109051484","fia_small"
"955","65109051847","fia_small"
"956","65109053145","fia_small"
"957","65109054584","fia_small"
"958","65109062101","fia_small"
"959","65109062636","fia_small"
"960","65109081094","fia_small"
"961","65109084928","fia_small"
"962","65109095908","fia_small"
"963","66027062440","fia_small"
"964","66037081079","fia_small"
"965","66065082515","fia_small"
"966","66071091547","fia_small"
"967","66073057310","fia_small"
"968","81013085315","fia_small"
"969","81019086050","fia_small"
"970","81019087074","fia_small"
"971","81035090047","fia_small"
"972","81041091202","fia_small"
"973","81047087566","fia_small"
"974","81047089104","fia_small"
"975","81059082714","fia_small"
"976","81069082879","fia_small"
"977","81069086831","fia_small"
"978","81093086888","fia_small"
"979","81093087541","fia_small"
"980","81093089562","fia_small"
"981","81093090448","fia_small"
"982","81119080894","fia_small"
"983","81119088905","fia_small"
"984","82015087622","fia_small"
"985","82023081596","fia_small"
"986","82023084411","fia_small"
"987","82027080982","fia_small"
"988","82027084894","fia_small"
"989","82027085145","fia_small"
"990","82027086949","fia_small"
"991","82043080316","fia_small"
"992","82043082581","fia_small"
"993","82043082695","fia_small"
"994","82043086611","fia_small"
"995","82043088599","fia_small"
